participantnum,stimulusid,stimulustype,state_or_event,orientation,position,length,delay,response
11,branch_RTME2,dualbranch,event,right,top,medium,4.0,RC
11,branch_RTME1,dualbranch,event,right,top,medium,2.0,RC
11,branch_RTME3,dualbranch,event,right,top,medium,6.0,RC
11,chain_RL,chain,,right,,long,,RC
12,chain_RL,chain,,left,,long,,RC
12,branch_RTME2,dualbranch,event,left,bottom,medium,4.0,RD
12,branch_RTLE2,dualbranch,event,left,bottom,long,4.0,RD
12,branch_RTSS,dualbranch,state,left,top,short,,RD_ID
12,branch_RTLE1,dualbranch,event,left,bottom,long,2.0,otherC
12,branch_RTSE1,dualbranch,event,left,top,short,2.0,RD_ID
12,branch_RTSE3,dualbranch,event,left,bottom,short,6.0,RD_ID
12,branch_RTLE3,dualbranch,event,left,top,long,6.0,RD
12,branch_RTMS,dualbranch,state,left,top,medium,,RD
12,branch_RTLS,dualbranch,state,left,top,long,,RD
12,chain_RS,chain,,left,,short,,RC_IC
12,branch_RTME3,dualbranch,event,left,bottom,medium,6.0,RC
12,branch_RTSE2,dualbranch,event,left,bottom,short,4.0,RD_ID
12,chain_RM,chain,,left,,medium,,RC
12,branch_RTME1,dualbranch,event,left,bottom,medium,2.0,RC
13,branch_RTLS,dualbranch,state,right,top,long,,RC
13,branch_RTME1,dualbranch,event,right,bottom,medium,2.0,RC
13,branch_RTSE3,dualbranch,event,right,bottom,short,6.0,RC_IC
13,branch_RTME2,dualbranch,event,right,top,medium,4.0,RC
13,branch_RTMS,dualbranch,state,right,top,medium,,RC
13,branch_RTSE1,dualbranch,event,right,bottom,short,2.0,RC_IC
13,branch_RTME3,dualbranch,event,right,top,medium,6.0,RC
13,chain_RM,chain,,right,,medium,,RC
13,branch_RTSE2,dualbranch,event,right,bottom,short,4.0,RC_IC
13,chain_RL,chain,,right,,long,,RC
13,branch_RTSS,dualbranch,state,right,top,short,,RC_IC
13,branch_RTLE2,dualbranch,event,right,bottom,long,4.0,RC
13,branch_RTLE3,dualbranch,event,right,top,long,6.0,RC
13,chain_RS,chain,,right,,short,,RC_IC
13,branch_RTLE1,dualbranch,event,right,top,long,2.0,RC
14,branch_RTSE3,dualbranch,event,right,top,short,6.0,RC_IC
